id,name,code,lon,lat
2,3900-SAN GABRIEL-PLAZA BOTELLA,3900,38.328278276,-0.511071549
3,3901-VERGEL,3901,38.330180071,-0.5098282240000001
4,3902-ESCOLANO-PEGO,3902,38.330066357,-0.5116852119999999
5,3903-ESCOLANO-LOS CINCUENTA,3903,38.329605882,-0.512913485
6,3904-DÍAZ DE MENDOZA,3904,38.328099915,-0.514978195
7,3905-LA CIGÜEÑA,3905,38.326143586,-0.515777119
8,3906-SEMPERE-BLUME,3906,38.327232658,-0.517421345
9,3500-SEMPERE-PASTOR,3500,38.329000476,-0.5158053070000001
10,3907-SEMPERE-LA ERA,3907,38.330287911,-0.514056913
11,3908-C.P. EL PALMERAL,3908,38.331384029,-0.512635297
12,3909-ECUADOR,3909,38.332259709,-0.509745532
13,3910-PERÚ,3910,38.333269152,-0.5080636790000001
14,3961-MÉXICO-ROTONDA,3961,38.33502102,-0.507397309
15,3122-MÉXICO-CAJA AHORROS,3122,38.338438346,-0.507932175
16,3123-IES CAVANILLES,3123,38.339010705,-0.506882923
17,3911-CFPA BABEL,3911,38.339164953,-0.503971803
18,3124-SOLER-JUZGADOS,3124,38.339392623,-0.501126788
19,3912-C.P. BENALÚA,3912,38.339615,-0.498085
20,3126-Ó. ESPLÁ-SEMPERE,3126,38.340516504,-0.49363395
21,4446-CAPUCHINOS,4446,38.341516982,-0.4921757999999999
22,3127-ALEMANIA,3127,38.342574725,-0.489816809
23,2603-MUNTANYETA-SOTO,2603,38.344173157,-0.489143761
24,4046-LUCEROS-SOTO,4046,38.345500506,-0.490116151
25,3129-MERCADO-EL SABIO,3129,38.347237014,-0.487058471
26,3400-MERCADO-SAN VICENTE,3400,38.348827824,-0.484772289
28,3916-JIJONA-AUDITORIO,3916,38.354659912,-0.485302623
29,3001-JIJONA-ADORATRICES,3001,38.356567707,-0.48519078
30,3917-ALONSO-DEVESA,3917,38.360066927,-0.48366202
31,3003-HOSPITAL-ALONSO,3003,38.363428816,-0.484129136
32,3004-ALONSO-ALCOLEJA,3004,38.366731202,-0.485182023
33,3005-MAESTRE ALONSO (TRAM),3005,38.368272629,-0.485632188
34,3006-C.P. VIRGEN DEL REMEDIO,3006,38.3707551,-0.486267234
35,3918-PLAZA ORÁN,3918,38.37133984,-0.484965102
36,3919-C. SOCIAL VIRGEN DEL CARMEN,3919,38.370338696,-0.483660711
37,3960-EJÉRCITOS ESPAÑOLES,3960,38.369702357,-0.482561157
38,4410-C.P. EL TOSSALET,4410,38.370894176,-0.480162091
39,3921-CARRATALÁ-TOSSALET,3921,38.370388699,-0.478027949
40,3975-CARRATALÁ-ELS POBLETS,3975,38.36996385,-0.4754561190000001
41,3976-LOS MONTESINOS,3976,38.368544112,-0.472712956
42,3923-PINTOR AMORÓS,3923,38.370562979,-0.471486686
43,3924-PINTOR CAMACHO,3924,38.372485591,-0.474567207
44,3925-C.P. SAN AGUSTÍN,3925,38.371892711,-0.4742330320000001
45,3926-CIUDAD ELEGIDA,3926,38.372258148,-0.473213112
46,3927-C.P. SAN AGUSTÍN,3927,38.372010745,-0.4742747050000001
47,3928-PINTOR CAMACHO,3928,38.372428856,-0.4744432810000001
48,3929-PINTOR AMORÓS,3929,38.370548429,-0.471647426
49,3930-CARRATALÁ-ELS POBLETS,3930,38.369966071,-0.473888063
50,3931-CARRATALÁ-TOSSALET,3931,38.370452217,-0.4780486319999999
51,3932-C.P. EL TOSSALET,3932,38.370516865,-0.480633
52,3933-SIERRA DE PANDOLS,3933,38.370836767,-0.481262828
53,3934-STA. CRUZ-BANYERES,3934,38.371679711,-0.482332329
54,3957-C. SOCIAL VIRGEN DEL CARMEN,3957,38.370374711,-0.483659462
55,4428-C. DEPORTIVO V. DEL CARMEN,4428,38.368424273,-0.483463854
56,4429-ESPARTERO,4429,38.365877627,-0.48319737
57,3038-HOSPITAL-ALONSO,3038,38.363854039,-0.4846293850000001
58,3039-ALONSO-DEVESA,3039,38.35981851,-0.483842283
59,3040-JIJONA-ADORATRICES,3040,38.356466784,-0.485526122
61,2946-MERCADO-CALDERÓN,2946,38.349033184,-0.485943682
62,3937-MERCADO-EL SABIO,3937,38.347588575,-0.486645853
63,3938-LUCEROS,3938,38.345677762,-0.490819385
64,3939-MUNTANYETA-SOTO,3939,38.343925955,-0.489381125
65,4118-ESTACIÓN-MAISONNAVE,4118,38.343357325,-0.493542384
66,3102-Ó. ESPLÁ-FOGLIETTI,3102,38.341064596,-0.494193511
67,3103-SOLER-POLICÍA,3103,38.339892239,-0.494989008
68,3942-C.P. BENALÚA,3942,38.339779992,-0.496903416
69,3943-SOLER-ALBEROLA,3943,38.339657488,-0.4987609700000001
70,3104-SOLER-JUZGADOS,3104,38.339555667,-0.501166942
71,3944-CFPA BABEL,3944,38.33937473,-0.504513731
72,3105-IES CAVANILLES,3105,38.339226311,-0.5068526450000001
73,3945-MÉXICO-CAJA AHORROS,3945,38.338407438,-0.508173479
74,3502-IES BAHÍA DE BABEL,3502,38.334256385,-0.50957416
75,3528-POLIDEPORTIVO SAMARANCH,3528,38.332865842,-0.511131794
76,3949-C.P. EL PALMERAL,3949,38.331317824,-0.512912099
77,3950-SEMPERE-LA ERA,3950,38.33019566,-0.514380356
78,3525-SEMPERE-PASTOR,3525,38.329093908,-0.515962256
79,3951-SEMPERE-BLUME,3951,38.327448509,-0.517402535
80,3952-LA CIGÜEÑA,3952,38.32605282,-0.515745906
81,3953-URB. EL PALMERAL,3953,38.3255658,-0.5136007420000001
82,3954-VICTORIA KENT,3954,38.32668613,-0.514168653
83,3955-DÍAZ DE MENDOZA,3955,38.328185589,-0.514769372
84,3956-PEDREGUER,3956,38.327338881,-0.512659338
85,4000-LA FLORIDA-ASTURIAS,4000,38.343934487,-0.512159892
86,4001-ANA NAVARRO,4001,38.343445254,-0.514155931
87,4002-BETIS FLORIDA,4002,38.34101374,-0.513792941
88,4003-FLOR,4003,38.339457325,-0.513056814
89,4004-IES FIGUERAS-CARBONELL,4004,38.33875824,-0.511959599
90,4005-C.P. FLORIDA-CARBONELL,4005,38.33888924,-0.5096441860000001
92,3915-TEATRO,3915,38.346080555,-0.485233544
93,2606-RAMBLA-PORTAL DE ELCHE,2606,38.344591917,-0.483465947
94,4009-PUERTA DEL MAR,4009,38.345028472,-0.47904598
95,2608-POSTIGUET-PASARELA,2608,38.346527362,-0.4766828
96,4065-CANÓNIGO PENALVA,4065,38.352514,-0.474346
97,4010-CELIA VALLS,4010,38.352758865,-0.475676761
98,4036-J. TURINA,4036,38.353889138,-0.474607641
99,4012-PLAZA ESTELLA,4012,38.355188358,-0.475523647
100,4013-ING. CANALES,4013,38.356485085,-0.477160677
101,3566-C.A. MONTEMAR,3566,38.357116837,-0.476372041
102,4014-RÍO SERPÍS,4014,38.358474923,-0.474585458
103,4015-ALBIÑANA,4015,38.359486146,-0.475934938
104,4016-CISNEROS-SAN MATEO,4016,38.360120189,-0.477343337
105,4017-CISNEROS-CÁNOVAS,4017,38.360586241,-0.478482948
106,4018-SAGRADA FAMILIA,4018,38.361152129,-0.477982657
107,4019-E. MONSONÍS,4019,38.360452111,-0.476439203
108,4020-LUIS TORREGROSA,4020,38.359801155,-0.475500578
109,4021-PÉREZ CÁSCALES,4021,38.35834269,-0.4759746910000001
110,4022-G. MENGUAL,4022,38.356780643,-0.47498768
111,4023-HOSPITAL PROVINCIAL,4023,38.354540752308615,-0.47626971783767014
112,4024-MARQ-GÓMEZ ULLA,4024,38.352984788,-0.476961899
114,4025-CANÓNIGO PENALVA,4025,38.3522051,-0.4742313989999999
115,4027-RAVAL ROIG,4027,38.349804968,-0.473239335
116,2685-POSTIGUET-PASARELA,2685,38.347026637,-0.476436626
117,4359-PUERTA DEL MAR,4359,38.344774356,-0.479798471
118,4045-RAMBLA-SAN JOSÉ,4045,38.345153338,-0.483595232
119,2682-RAMBLA-SAN CRISTÓBAL,2682,38.34638308,-0.484216229
120,3101-LUCEROS,3101,38.346355676,-0.490498492
121,3940-PLAZA SÉNECA,3940,38.341885113,-0.490012246
122,3941-CASANOVA-CHURRUCA,3941,38.340682133,-0.492742320
123,4028-C.P. FLORIDA-CARBONELL,4028,38.33907978,-0.509706297
124,4029-IES FIGUERAS-CARBONELL,4029,38.338967515,-0.512055395
125,4030-FLOR,4030,38.339453927,-0.512896765
126,4031-BETIS FLORIDA,4031,38.34157635,-0.5139796210000001
127,4032-RÉGULO,4032,38.342785146,-0.51234798
128,4033-LA VIÑA-COMAS SOLÁ,4033,38.34336611,-0.50958226
129,4113-COLONIA REQUENA - ESMERALDA,4113,38.375050985,-0.485752151
130,3034-GASTÓN CASTELLÓ (TRAM),3034,38.373240515,-0.487039564
131,3036-MAESTRE ALONSO (TRAM),3036,38.368064891,-0.486028509
132,3046-ALONSO-GRAN VÍA,3046,38.365540755,-0.485131712
134,4114-PLAZA DE ESPAÑA,4114,38.351958565,-0.485384723
135,4115-CALDERÓN-LA LONJA,4115,38.349821581,-0.48573332
136,4116-MERCADO-EL SABIO,4116,38.347374768,-0.487179562
137,4264-LUCEROS-SOTO,4264,38.344923533,-0.490101763
138,4117-MAISONNAVE-CALVO SOTELO,4117,38.343562684,-0.489668262
139,4119-ESTACIÓN-AGUILERA,4119,38.343237648,-0.496372414
140,4120-MERCADO DE BENALÚA,4120,38.343111311,-0.498893761
141,3521-ANTIGUO ASILO,3521,38.342950436,-0.503178181
142,4121-ORIHUELA-GRAN VÍA,4121,38.344150931,-0.506660767
143,4122-ORIHUELA-LA LIRA,4122,38.344641263,-0.508955049
144,4123-ORIHUELA-ALBERGUE,4123,38.344918843,-0.511840152
145,4124-ORIHUELA-NIÑOLES,4124,38.345080348,-0.513505039
146,4125-DE LA SERNA,4125,38.346507166,-0.51620215
147,4133-ÁGUILA,4133,38.348180284,-0.514794818
148,4128-XIMÉNEZ-LANGUCHA,4128,38.34837288,-0.51283169
149,4129-XIMÉNEZ-HÉRCULES,4129,38.348231314,-0.51125758
150,4130-XIMÉNEZ-CRUZ DEL SUR,4130,38.348097759,-0.509637435
151,4100-CIUDAD DE ASÍS,4100,38.34713631,-0.508491918
152,4101-CEFEO-ANTARES,4101,38.347258666,-0.510856125
153,4102-CEFEO-NIÑOLES,4102,38.34736351,-0.511973807
154,4103-ORIHUELA-ALBERGUE,4103,38.344763834,-0.511753932
155,4104-ORIHUELA-LA LIRA,4104,38.344497444,-0.508971422
156,4105-ORIHUELA-GRAN VÍA,4105,38.343868648,-0.506521722
157,3504-ANTIGUO ASILO,3504,38.342732151,-0.503082715
158,4106-MERCADO DE BENALÚA,4106,38.342972317,-0.498292181
159,4107-ESTACIÓN-AGUILERA,4107,38.343092855,-0.496343081
160,4108-ESTACIÓN-MAISONNAVE,4108,38.34323783,-0.493432098
161,4109-MAISONNAVE-PORTUGAL,4109,38.343303774,-0.491461988
162,2902-MERCADO-SAN VICENTE,2902,38.34933203,-0.484754827
163,4111-PLAZA DE TOROS,4111,38.352046065,-0.4848439070000001
165,3045-C.P. VIRGEN DEL REMEDIO,3045,38.371299002,-0.486420074
166,4145-GASTÓN CASTELLÓ (TRAM),4145,38.373644126,-0.486533422
167,4112-PARQUE REQUENA,4112,38.374342965,-0.4850899339999999
169,4205-OCAÑA-JÚCAR,4205,38.344816083,-0.521442822
170,4206-PERICOCO,4206,38.345165549,-0.516671346
172,4208-IES FIGUERAS-CHÁVARRI,4208,38.340376026,-0.511766917
173,4209-C. SALUD BABEL,4209,38.34113559,-0.509349821
174,3136-MERCADO DE BABEL,3136,38.34204695,-0.506446956
175,4213-AGUILERA-JUZGADOS,4213,38.342817281,-0.50200435
176,6100-ESTACIÓN-SALAMANCA,6100,38.34387866,-0.494325266
177,4301-ESTACIÓN-CORREOS,4301,38.345995031,-0.494275148
178,6101-PÉREZ GALDÓS-MARVÁ,6101,38.34793561,-0.491485095
179,6102-PLAZA TORDERA,6102,38.349579729,-0.488739467
180,4215-PLAZA AMÉRICA,4215,38.359544073,-0.4853280010000001
181,4216-HOSPITAL-PINTOR BAEZA,4216,38.362521247,-0.487181789
182,5012-GRAN VÍA-BENISAUDET,5012,38.364376298,-0.488811322
183,4280-GRAN VÍA-NOVELDA,4280,38.362114358,-0.493421345
184,4218-GRAN VÍA-TEULADA,4218,38.36105687264329,-0.4957255175649311
186,4220-PARQUE SAN AGUSTÍN,4220,38.362168554,-0.500171377
187,4281-LA NUCÍA-LEGAZPI,4281,38.361252468,-0.501999592
188,4360-CARMELITAS,4360,38.3616163,-0.502582153
190,4223-RUÍZ DE ALARCÓN,4223,38.367040361,-0.505954844
191,4224-FONDO DE PIQUERES,4224,38.369405438,-0.505736236
192,4225-C.P. EUSEBIO SEMPERE,4225,38.371309065,-0.503736547
193,4226-DIVINA PASTORA,4226,38.372640852,-0.502809428
194,4655-CÁDIZ-NOVELDA,4655,38.372911644,-0.498611013
195,2937-NOVELDA-PENÀGUILA,2937,38.370780085,-0.497528508
197,4265-GRAN VÍA-TEULADA,4265,38.360916132,-0.495534025
198,4232-TÓMBOLA-V. DEL PUIG,4232,38.370786375,-0.499931799
199,4233-NÚÑEZ DE BALBOA,4233,38.372402504,-0.500929115
200,4234-DIVINA PASTORA,4234,38.372752998,-0.50215317
201,4235-CÁDIZ-I. SEVILLA,4235,38.372659876,-0.503701529
202,4236-C.P. EUSEBIO SEMPERE,4236,38.371139212,-0.503799616
203,4237-FONDO DE PIQUERES,4237,38.369712517,-0.504924525
205,4239-RECASENS-PETANCA,4239,38.367962175,-0.506930317
206,4240-CINCO SOLES,4240,38.366550998,-0.506246329
207,4241-LA PÉRGOLA,4241,38.365096747,-0.505655401
208,4282-VÍA PARQUE-CONFRIDES,4282,38.363092454,-0.502931915
209,4283-VÍA PARQUE-TUBERÍA,4283,38.364199069,-0.500742334
210,3514-TEULADA-CONFRIDES,3514,38.363790391,-0.4993258820000001
211,3515-TEULADA-LINARES,3515,38.36230711,-0.498221138
212,4284-GRAN VÍA-NOVELDA,4284,38.361955909,-0.493175051
213,4285-A. GUIXOT,4285,38.36345362982601,-0.4891879182376568
214,4248-HOSPITAL-PINTOR BAEZA,4248,38.362618154,-0.487498865
215,4249-PLAZA AMÉRICA,4249,38.359690423,-0.4858493320000001
216,4250-AMÉRICA-SEGARRA,4250,38.358390131,-0.485299308
217,6200-REPRESENTANTES,6200,38.352353657,-0.486160563
218,6201-PLAZA TORDERA,6201,38.349601904,-0.488933212
219,6202-PÉREZ GALDÓS-MARVÁ,6202,38.347995509,-0.491757626
220,4325-ESTACIÓN-CORREOS,4325,38.345164,-0.494645
221,4526-ESTACIÓN-AGUILERA,4526,38.343298883,-0.49544359
222,3135-MERCADO DE BABEL,3135,38.342173977,-0.506488359
223,4268-C. SALUD BABEL,4268,38.341779743,-0.508709942
224,4269-IES FIGUERAS-AZORÍN,4269,38.341019188,-0.51192794
226,4259-PERICOCO,4259,38.345294513,-0.516804233
227,4260-OCAÑA-JÚCAR,4260,38.344988981,-0.522375103
229,4203-TURIA,4203,38.347154525,-0.5242234260000001
231,4302-SALAMANCA-PÉREZ GALDÓS,4302,38.347492052,-0.4939145840000001
232,4303-CONDES DE SOTO AMENO,4303,38.349306835,-0.49535085
233,4358-RICO-IGLESIA,4358,38.351395627,-0.496960818
234,4308-RAYUELA,4308,38.351779413,-0.5005862290000001
235,4309-SAN ESTEBAN,4309,38.353310789,-0.500567853
236,4310-C.P. SAN FERNANDO,4310,38.354623058,-0.499149562
237,4311-RICO-HONDÓN,4311,38.355601155,-0.497273576
238,4312-HOGUERA SAN BLAS,4312,38.356908615,-0.496896663
239,4340-MERCADILLO-MIRRA,4340,38.358218109,-0.4974580140000001
240,3517-COLEGIO ALTOZANO,3517,38.356432932,-0.500780794
241,4329-FERNÁNDEZ-FOGUERES,4329,38.35711928,-0.502965692
242,4330-FERNÁNDEZ-MOROS Y CRISTIANOS,4330,38.358449498,-0.505769335
243,4331-CIUDAD DE MATANZAS,4331,38.359077573,-0.505644769
244,4355-IES 8 DE MARZO,4355,38.360781874,-0.50274818
245,4242-LA NUCÍA-LEGAZPI,4242,38.361344191,-0.501653123
246,4346-SAN AGUSTÍN,4346,38.362103603,-0.500505487
249,4348-IES 8 DE MARZO,4348,38.360831039,-0.502941032
250,4333-CIUDAD DE MATANZAS,4333,38.359045212,-0.505817532
251,4334-FERNÁNDEZ-MOROS Y CRISTIANOS,4334,38.358352405,-0.505864217
252,4339-FERNÁNDEZ-FOGUERES,4339,38.357040197,-0.503059956
253,4337-MARISTAS,4337,38.355508332,-0.503055416
254,3508-COLEGIO ALTOZANO,3508,38.35593965,-0.500465927
255,4354-MERCADILLO-MIRRA,4354,38.358137113,-0.497884207
256,4313-HOGUERA SAN BLAS,4313,38.356663354,-0.497225523
257,4314-C.P. SAN FERNANDO,4314,38.354704825,-0.499181074
258,4315-SAN ESTEBAN,4315,38.353294978,-0.500671379
259,4316-RAYUELA,4316,38.351601289,-0.500683897
260,4317-URB. SANTO DOMINGO,4317,38.350515048,-0.501716736
261,4307-PADRE RECADERO DE LOS RIOS 29,4307,38.350197134,-0.499908392
262,4326-PADRE RECAREDO DE LOS RÍOS 5,4326,38.351213427,-0.497710838
263,4321-SAN JUAN BAUTISTA,4321,38.349193782,-0.496384515
264,4322-GISBERT-STA. LEONOR,4322,38.348020032,-0.495429548
265,4323-BELLUGA,4323,38.347128082,-0.494590749
266,2604-MERCADO-EL SABIO,2604,38.34740801,-0.486629218
268,4450-ESTACIÓN DE AUTOBUSES,4450,38.337176879,-0.491890881
269,4214-ESTACIÓN-AVENIDA,4214,38.34441864,-0.4942952000000001
270,4273-DIPUTACIÓN,4273,38.345319008,-0.492158959
271,3128-LUCEROS,3128,38.345915903,-0.490159005
272,4400-MERCADO-SAN VICENTE,4400,38.348980641,-0.484755555
273,4401-MISERICORDIA,4401,38.352170634,-0.483512287
274,4402-CIGARRERAS,4402,38.353684758,-0.48143449
275,4403-PÍO XII,4403,38.355321159,-0.480016041
276,3585-PADRE ESPLÁ-VIDAL,3585,38.356255889,-0.478232833
277,3552-PLAZA MANILA,3552,38.358127929,-0.477298128
278,4404-C.P. 9 DE OCTUBRE,4404,38.359299531,-0.479820742
279,4405-POLIDEPORTIVO CAROLINAS,4405,38.361978774,-0.479968054
280,4406-GARBINET (TRAM),4406,38.363248181,-0.479500558
281,4407-CANO-GRAN VÍA,4407,38.365498449,-0.47981153
282,4408-CANO-VÍA PARQUE,4408,38.367476496,-0.48045242
283,4409-CANO-IES GRAN VÍA,4409,38.370029295,-0.481004724
284,4411-EDIFICIO GARBINET,4411,38.371622548,-0.4784199940000001
285,4412-C. SALUD JUAN XXIII,4412,38.373742825,-0.4785523390000001
286,4413-MELILLA-BENIGEMBLA,4413,38.373180106,-0.480036931
287,4414-MELILLA-BENIFATO,4414,38.37364914,-0.482573034
288,4415-JUAN XXIII-BAS MINGOT,4415,38.374729763,-0.483382539
289,4424-BAS MINGOT-GRANADOS,4424,38.374594903,-0.480045028
290,4425-C. SALUD JUAN XXIII,4425,38.374054858,-0.4788161949999999
291,4426-EDIFICIO GARBINET,4426,38.371447402,-0.478654986
292,4427-SIERRA DE CAVALLS,4427,38.370298809,-0.482643473
293,4430-C.P. ARNICHES,4430,38.364768275,-0.480214542
294,4431-GARBINET (TRAM),4431,38.362691536,-0.4800119749999999
295,4432-SAN MATEO-LÉRIDA,4432,38.360443467,-0.47687436
296,4433-SAN MATEO-FOGUERER,4433,38.358985845,-0.477806156
297,4434-MERCADO DE CAROLINAS,4434,38.357778099,-0.478626247
298,4435-PÍO XII,4435,38.355771094,-0.479988983
299,4436-PALMERETES,4436,38.355318293,-0.48239624
300,4437-MISERICORDIA,4437,38.352049987,-0.483768197
301,4438-CALDERÓN-PL. ESPAÑA,4438,38.350825083,-0.485469738
302,2601-ESTACIÓN-SALAMANCA,2601,38.343904249,-0.4946790549999999
303,3676-Ó. ESPLÁ-SEMPERE,3676,38.339307104,-0.493750752
304,4760-ESTACIÓN-Ó. ESPLÁ,4760,38.34287777777778,-0.4946805555555556
305,4502-PLA DE L'ESPARTAL,4502,38.344564841,-0.5283160810000001
306,4503-MERCALICANTE,4503,38.34398263,-0.537465861
307,4504-CARRETERA DE BACAROT,4504,38.343550871,-0.543509909
308,4505-PLA VALLONGA-ITV,4505,38.347496963,-0.552095029
309,4506-PLA VALLONGA-ALISIOS,4506,38.350112065,-0.552624783
310,4507-PLA VALLONGA-TRUENO,4507,38.351023741,-0.5548596300000001
311,4508-CENTRO PENITENCIARIO,4508,38.348860906,-0.561328445
312,4509-ATALAYAS-PESETA,4509,38.342183541,-0.564332672
313,4510-ATALAYAS-EURO P9,4510,38.339935081,-0.5723477340000001
314,4511-ATALAYAS-EURO P1,4511,38.337981147,-0.572412998
315,4512-ATALAYAS-LIBRA,4512,38.337813417,-0.564765134
316,4513-LO XEPERUT,4513,38.33846701,-0.598606294
317,3222-EL REBOLLEDO-AUTOVÍA,3222,38.341291843,-0.603226522
318,3223-EL REBOLLEDO-GASOLINERA,3223,38.342485051,-0.607820729
319,3224-EL REBOLLEDO-GRANADINOS,3224,38.34383224,-0.612021033
320,3225-EL REBOLLEDO-CORREOS,3225,38.344719522,-0.614440305
321,3226-EL REBOLLEDO-RESTAURANTE,3226,38.34574498,-0.617896275
322,3227-EL REBOLLEDO-CORREOS,3227,38.344602929,-0.614467015
323,3228-EL REBOLLEDO-GRANADINOS,3228,38.343821457,-0.6123760620000001
324,3229-EL REBOLLEDO-GASOLINERA,3229,38.341977087,-0.6067734540000001
325,3230-EL REBOLLEDO-AUTOVÍA,3230,38.341164376,-0.603162082
329,4517-ATALAYAS-PESETA,4517,38.342197746,-0.564149142
333,4521-CENTRO PENITENCIARIO,4521,38.348867054,-0.561190936
334,4522-CARRETERA DE BACAROT,4522,38.343406806,-0.54351478
335,4523-MERCALICANTE,4523,38.343747816,-0.538297574
336,4524-PLA DE L'ESPARTAL,4524,38.344359678,-0.52841459
337,2999-RAMBLA-SAN FERNANDO,2999,38.34407222222222,-0.4829749999999999
338,4600-RAMBLA-SAN JOSÉ,4600,38.345381378,-0.483724627
339,2904-ALCOY-AUDITORIO,2904,38.355452942,-0.487826908
340,2905-ALCOY-PARQUE DUVAL,2905,38.357642588,-0.489513398
341,2906-CONDE LUMIARES,2906,38.360325763,-0.491526241
342,2907-NOVELDA-GRAN VÍA,2907,38.362697397,-0.493298218
343,2908-NOVELDA-GASOLINERA,2908,38.364171961,-0.494414611
344,2909-NOVELDA-IGLESIA,2909,38.366383156,-0.4958489689999999
345,2910-NOVELDA-JARALES,2910,38.368534159,-0.496575902
346,2911-NOVELDA-PENÀGUILA,2911,38.372145027,-0.4977332430000001
347,2912-NOVELDA-BERNÁCER,2912,38.374224236,-0.498474202
